Step;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r0 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r2 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r4 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r3 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r1 - train/loss;GCN_mean;GCN_std
243;0.07407831;0.0850894;0.08514951;0.09517505;0.09786628;0.08747171;0.009458326
244;0.0743486;0.08388123;0.08391166;0.09618561;0.09798109;0.087261638;0.009797193
245;0.07443686;0.08395276;0.08413784;0.09410546;0.0964793;0.086622444;0.008873304
246;0.07197956;0.08250354;0.08375254;0.09473248;0.09704501;0.086002626;0.010150092
247;0.07154094;0.08393848;0.08314325;0.09430546;0.09584485;0.085754596;0.009837123
248;0.07074884;0.08417884;0.08308911;0.09476255;0.09485544;0.085526956;0.009980857
249;0.07072441;0.08277067;0.08264514;0.09432736;0.09539265;0.085172046;0.010113933
250;0.07134108;0.08279839;0.0831402;0.09339702;0.09502506;0.08514035;0.009562757
251;0.0696172;0.08217986;0.08196153;0.09490086;0.09575295;0.08488248;0.010809717
252;0.07046329;0.08235409;0.08130405;0.09316631;0.09673493;0.084804534;0.010442497
253;0.07135751;0.08180779;0.0797126;0.09433172;0.09534955;0.084511834;0.010213557
254;0.07144125;0.08198899;0.08065688;0.08974178;0.09427098;0.083619976;0.008813084
255;0.06893644;0.07883733;0.08010279;0.09078764;0.09310447;0.082353734;0.00980006
256;0.06840309;0.08032483;0.08125985;0.09038231;0.0905686;0.082187736;0.009106835
257;0.06729009;0.07913765;0.07907521;0.09185057;0.09202743;0.08187619;0.010375877
258;0.06750759;0.0816385;0.07790003;0.08849825;0.09082799;0.081274472;0.009280343
259;0.06747863;0.07844753;0.07948525;0.08879362;0.0924548;0.081331966;0.009785691
260;0.06893055;0.07678788;0.07793881;0.09233547;0.0904724;0.081293022;0.009881478
261;0.06694293;0.07731371;0.07825294;0.09281228;0.09054997;0.081174366;0.010598539
262;0.06564165;0.07612971;0.07568793;0.08960756;0.09111181;0.079635732;0.010663599
263;0.06846684;0.07481962;0.0766786;0.08712626;0.08948116;0.079314496;0.008792159
264;0.0650877;0.07486078;0.07556387;0.0863194;0.08911202;0.078188754;0.009682822
265;0.06493016;0.07510616;0.07729642;0.08607701;0.08797259;0.078276468;0.009273599
266;0.06467331;0.07470284;0.07537424;0.08618628;0.08712186;0.077611706;0.009284883
267;0.06389566;0.07513571;0.07538536;0.08716609;0.08758987;0.077834538;0.009871915
268;0.06252429;0.0745582;0.07509343;0.08536344;0.08678851;0.076865574;0.009808355
269;0.06238208;0.07339494;0.07405006;0.08498347;0.08808983;0.076580076;0.01026183
270;0.06476525;0.07378625;0.07425249;0.08419665;0.08783489;0.076967106;0.009175338
271;0.06355368;0.07281131;0.07330493;0.08381044;0.08725864;0.0761478;0.009486737
272;0.0634317;0.07313946;0.07357993;0.08313171;0.08619079;0.075894718;0.009036864
273;0.06359604;0.0716259;0.07427519;0.08254372;0.08510003;0.075428176;0.008659703
274;0.06210747;0.07146274;0.07269207;0.08234157;0.08396076;0.074512922;0.008903142
275;0.06103668;0.07208764;0.07292495;0.08167708;0.08418071;0.074381412;0.009147644
276;0.0605262;0.07132394;0.07280477;0.08273657;0.08409737;0.07429777;0.009591329
277;0.06217598;0.07077028;0.07088345;0.08158109;0.08404998;0.073892156;0.008921439
278;0.06105049;0.06910486;0.07138692;0.08114404;0.08576262;0.073689786;0.009841186
